kepoi_name,koi_disposition,koi_period,koi_depth,koi_duration,koi_prad,koi_teq,koi_insol,koi_steff,koi_slogg,koi_srad,koi_score,koi_model_snr,koi_impact
K06706.01,FALSE POSITIVE,534.86668,565.0,8.19,4.3,328.0,2.74,6668.0,4.074,1.791,,8.3,0.113
K06707.01,CANDIDATE,43.535891,576.6,4.712,1.86,444.0,9.19,5481.0,4.592,0.778,0.993,13.9,0.258
K06707.02,FALSE POSITIVE,24.7222403,290.1,4.53,1.31,536.0,19.53,5481.0,4.592,0.778,0.368,9.3,0.106
K06708.01,FALSE POSITIVE,1.39797542,43.2,9.06,0.49,1316.0,709.8,5074.0,4.536,0.761,0.0,15.5,0.077
K06709.01,FALSE POSITIVE,2.2127498,22.7,3.054,0.68,1801.0,2494.14,6195.0,4.106,1.405,0.0,9.3,0.229
K06710.01,FALSE POSITIVE,0.776976021,21245.0,1.95401,48.15,2083.0,4459.03,5999.0,4.423,1.042,0.0,1582.9,1.222
K06711.01,FALSE POSITIVE,4.3206933,147.9,50.68,1.66,1205.0,499.09,6225.0,4.45,1.031,0.0,35.7,0.973
K06712.01,FALSE POSITIVE,16.486796205,55457.0,7.08022,28.18,825.0,109.34,6108.0,4.288,1.188,,4422.4,0.2164
K06713.01,FALSE POSITIVE,5.77677436,66.0,5.295,3063.42,1399.0,905.0,5473.0,3.796,2.162,,12.9,13.9716
K06714.01,FALSE POSITIVE,20.148810646,555690.0,8.5637,70.13,631.0,37.55,5547.0,4.447,0.918,,8840.9,0.1513
K06715.01,FALSE POSITIVE,0.687772085,41419.0,2.55338,46.51,2097.0,4569.67,5885.0,4.413,0.933,,846.9,1.1642
K06716.01,FALSE POSITIVE,0.843651274,305450.0,2.80468,39.98,1553.0,1371.12,5220.0,4.578,0.695,0.0,1509.3,0.405
K06717.01,FALSE POSITIVE,1.14294669,422810.0,3.39897,43.81,1293.0,660.96,5058.0,4.651,0.608,,1065.9,0.4651
K06718.01,FALSE POSITIVE,7.217010987,78714.0,4.4215,89.71,1096.0,341.36,6047.0,4.246,1.211,0.0,1307.0,1.287
K06719.01,FALSE POSITIVE,1.75251585,125.9,3.489,1.02,1447.0,1035.27,5952.0,4.554,0.844,0.0,14.2,0.738
K06720.01,FALSE POSITIVE,1.752450163,55.5,3.0255,0.79,1552.0,1372.36,5779.0,4.364,0.99,0.0,3.4,0.728
K06721.01,FALSE POSITIVE,8.27923132,164.9,2.355,1.08,815.0,104.49,5631.0,4.557,0.847,0.0,10.9,0.187
K06722.01,FALSE POSITIVE,2.212877175,376300.0,4.71059,68.1,1508.0,1221.98,6153.0,4.405,1.0,,3852.6,0.4966
